time,u,y,x1,x2
25,0.8032075315,1.503018484,1.503018484,-0.5676171133
25.025,0.7664133965,1.488695955,1.488695955,-0.578297739
25.05,0.7268785206,1.474097698,1.474097698,-0.5896861632
25.075,0.6847358392,1.45920522,1.45920522,-0.6018456137
25.1,0.6401281368,1.443998492,1.443998492,-0.6148359993
25.125,0.5932075967,1.428456024,1.428456024,-0.6287138328
25.15,0.5441353132,1.412554962,1.412554962,-0.6435321437
25.175,0.4930807679,1.396271167,1.396271167,-0.6593404113
25.2,0.4402212718,1.379579308,1.379579308,-0.6761845081
25.225,0.3857413749,1.362452957,1.362452957,-0.6941066452
25.25,0.3298322447,1.34486467,1.34486467,-0.7131453406
25.275,0.2726910161,1.326786094,1.326786094,-0.733335384
25.3,0.2145201144,1.308188047,1.308188047,-0.7547078189
25.325,0.1555265542,1.289040621,1.289040621,-0.7772899296
25.35,0.09592121596,1.269313274,1.269313274,-0.8011052333
25.375,0.03591810251,1.248974917,1.248974917,-0.8261734792
25.4,-0.02426642103,1.227994024,1.227994024,-0.8525106496
25.425,-0.08441440223,1.206338708,1.206338708,-0.8801289613
25.45,-0.1443070879,1.183976827,1.183976827,-0.9090368666
25.475,-0.2037257198,1.160876078,1.160876078,-0.9392390484
25.5,-0.2624523363,1.137004081,1.137004081,-0.9707364113
25.525,-0.3202705777,1.112328487,1.112328487,-1.003526056
25.55,-0.3769664911,1.086817064,1.086817064,-1.037601249
25.575,-0.4323293333,1.060437799,1.060437799,-1.072951366
25.6,-0.4861523673,1.033158993,1.033158993,-1.109561815
25.625,-0.5382336507,1.004949359,1.004949359,-1.14741395
25.65,-0.5883768117,0.9757781369,0.9757781369,-1.186484916
25.675,-0.6363918106,0.9456151822,0.9456151822,-1.226747517
25.7,-0.6820956836,0.9144310938,0.9144310938,-1.268169987
25.725,-0.7253132654,0.8821973211,0.8821973211,-1.310715764
25.75,-0.7658778889,0.8488862898,0.8488862898,-1.354343197
25.775,-0.8036320575,0.8144715386,0.8144715386,-1.399005188
25.8,-0.8384280884,0.778927848,0.778927848,-1.444648838
25.825,-0.8701287245,0.7422314076,0.7422314076,-1.491214942
25.85,-0.8986077107,0.7043599615,0.7043599615,-1.538637536
25.875,-0.9237503335,0.6652930023,0.6652930023,-1.586843278
25.9,-0.9454539215,0.6250119466,0.6250119466,-1.635750859
25.925,-0.9636283033,0.5835003581,0.5835003581,-1.685270281
25.95,-0.9781962218,0.5407441594,0.5407441594,-1.735302146
25.975,-0.989093703,0.496731891,0.496731891,-1.785736826
26,-0.9962703765,0.4514549637,0.4514549637,-1.836453668
26.025,-0.9996897465,0.4049079572,0.4049079572,-1.887320092
26.05,-0.9993294127,0.3570889203,0.3570889203,-1.93819074
26.075,-0.9951812378,0.3079997059,0.3079997059,-1.98890658
26.1,-0.9872514627,0.2576463235,0.2576463235,-2.039294064
26.125,-0.9755607668,0.2060393086,0.2060393086,-2.08916434
26.15,-0.9601442733,0.1531941188,0.1531941188,-2.138312544
26.175,-0.9410514995,0.09913153941,0.09913153941,-2.186517228
26.2,-0.9183462501,0.04387810242,0.04387810242,-2.233539969
26.225,-0.8921064561,-0.01253348445,-0.01253348445,-2.279125192
26.25,-0.8624239561,-0.0700639107,-0.0700639107,-2.323000282
26.275,-0.8294042238,-0.1286668418,-0.1286668418,-2.364876032
26.3,-0.793166039,-0.1882885142,-0.1882885142,-2.404447493
