time,u,y,x1,x2
25,5.326788657,-2.023218814,-2.023218814,-0.0761979002
25.025,5.351435664,-2.022818428,-2.022818428,0.1073832709
25.05,5.369652751,-2.017892254,-2.017892254,0.2858555416
25.075,5.381676358,-2.008568303,-2.008568303,0.4592127955
25.1,5.387753807,-1.994973526,-1.994973526,0.6275434826
25.125,5.388142147,-1.97723162,-1.97723162,0.7910175026
25.15,5.383106988,-1.955461149,-1.955461149,0.9498735438
25.175,5.372921316,-1.929773975,-1.929773975,1.104407208
25.2,5.35786432,-1.900273972,-1.900273972,1.254960124
25.225,5.338220203,-1.867056,-1.867056,1.401910163
25.25,5.314277014,-1.830205114,-1.830205114,1.545662769
25.275,5.286325475,-1.789795966,-1.789795966,1.686643367
25.3,5.254657833,-1.745892392,-1.745892392,1.825290766
25.325,5.219566718,-1.698547151,-1.698547151,1.962051405
25.35,5.181344038,-1.647801802,-1.647801802,2.097374304
25.375,5.140279885,-1.59368669,-1.59368669,2.2317065
25.4,5.096661479,-1.536221056,-1.536221056,2.36548884
25.425,5.050772143,-1.475413238,-1.475413238,2.499151896
25.45,5.002890318,-1.411260983,-1.411260983,2.633111685
25.475,4.953288607,-1.343751866,-1.343751866,2.767765226
25.5,4.902232882,-1.272863824,-1.272863824,2.903485357
25.525,4.849981413,-1.198565844,-1.198565844,3.04061484
25.55,4.796784069,-1.120818777,-1.120818777,3.179459456
25.575,4.742881553,-1.039576393,-1.039576393,3.320279526
25.6,4.688504697,-0.9547866116,-0.9547866116,3.463280191
25.625,4.633873819,-0.8663930379,-0.8663930379,3.608599505
25.65,4.579198122,-0.7743368106,-0.7743368106,3.756294599
25.675,4.524675171,-0.6785588118,-0.6785588118,3.906325583
25.7,4.470490412,-0.5790023244,-0.5790023244,4.058536951
25.725,4.416816768,-0.4756161835,-0.4756161835,4.21263662
25.75,4.363814283,-0.368358471,-0.368358471,4.368172797
25.775,4.311629841,-0.2572008179,-0.2572008179,4.524509043
25.8,4.260396941,-0.1421333445,-0.1421333445,4.680798332
25.825,4.210235534,-0.02317024805,-0.02317024805,4.835957316
25.85,4.16125193,0.09964398429,0.09964398429,4.988642506
25.875,4.113538758,0.2262278172,0.2262278172,5.137230696
25.9,4.067174992,0.3564554987,0.3564554987,5.279806586
25.925,4.022226042,0.4901497137,0.4901497137,5.414161154
25.95,3.978743892,0.6270743685,0.6270743685,5.53780482
25.975,3.936767311,0.7669279349,0.7669279349,5.647999562
26,3.896322108,0.9093378757,0.9093378757,5.741813939
26.025,3.857421446,1.053856764,1.053856764,5.816203895
26.05,3.820066208,1.199960758,1.199960758,5.868120554
26.075,3.784245417,1.3470511,1.3470511,5.894643591
26.1,3.749936691,1.494459218,1.494459218,5.893135289
26.125,3.717106757,1.641455856,1.641455856,5.86140653
26.15,3.685712,1.787264369,1.787264369,5.797882317
26.175,3.655699046,1.931078003,1.931078003,5.701751421
26.2,3.627005395,2.072080533,2.072080533,5.573083453
26.225,3.599560069,2.20946926,2.20946926,5.412897867
26.25,3.573284304,2.342479012,2.342479012,5.223172993
26.275,3.548092258,2.470405535,2.470405535,5.00678935
26.3,3.523891747,2.592626672,2.592626672,4.767409125
26.325,3.500584996,2.708619819,2.708619819,4.509301499
26.35,3.478069406,2.817974504,2.817974504,4.237130139
26.375,3.456238334,2.920399382,2.920399382,3.955723266
26.4,3.434981876,3.015723504,3.015723504,3.66984789
26.425,3.41418766,3.103892186,3.103892186,3.384007167
26.45,3.393741637,3.184958259,3.184958259,3.102275638
26.475,3.373528862,3.25906978,3.25906978,2.828180791
26.5,3.353434278,3.326455374,3.326455374,2.564633412
26.525,3.333343483,3.387408439,3.387408439,2.313903728
26.55,3.313143485,3.442271243,3.442271243,2.07763653
26.575,3.292723438,3.491419802,3.491419802,1.856896309
26.6,3.271975355,3.535250153,3.535250153,1.652232764
26.625,3.250794806,3.574166442,3.574166442,1.463757696
26.65,3.229081576,3.608570974,3.608570974,1.291225726
26.675,3.206740301,3.638856278,3.638856278,1.134112906
26.7,3.18368107,3.665399067,3.665399067,0.9916891649
26.725,3.159819988,3.6885559,3.6885559,0.8630821995
26.75,3.135079705,3.708660325,3.708660325,0.7473316044
26.775,3.109389903,3.726021251,3.726021251,0.643433158
26.8,3.082687738,3.740922304,3.740922304,0.55037378
26.825,3.054918242,3.75362196,3.75362196,0.4671581125
26.85,3.026034677,3.76435424,3.76435424,0.3928278734
26.875,2.995998839,3.773329817,3.773329817,0.3264751818
26.9,2.964781319,3.780737386,3.780737386,0.2672510078
26.925,2.932361707,3.786745207,3.786745207,0.2143697873
26.95,2.898728754,3.791502712,3.791502712,0.1671111138
26.975,2.863880473,3.795142135,3.795142135,0.1248192673
27,2.827824197,3.797780107,3.797780107,0.08690120668
27.025,2.79057658,3.799519183,3.799519183,0.05282352261
27.05,2.752163551,3.800449293,3.800449293,0.02210873927
27.075,2.712620212,3.800649085,3.800649085,-0.005668741123
27.1,2.671990689,3.800187172,3.800187172,-0.03088683111
27.125,2.630327932,3.799123274,3.799123274,-0.05387993181
27.15,2.587693465,3.797509249,3.797509249,-0.07494297777
27.175,2.544157094,3.795390039,3.795390039,-0.09433528128
27.2,2.49979656,3.792804506,3.792804506,-0.1122841316
27.225,2.454697158,3.789786199,3.789786199,-0.1289881267
27.25,2.408951304,3.786364026,3.786364026,-0.1446202284
27.275,2.362658071,3.782562863,3.782562863,-0.1593305448
27.3,2.315922675,3.778404094,3.778404094,-0.1732488489
27.325,2.268855941,3.773906086,3.773906086,-0.1864868479
27.35,2.22157372,3.769084619,3.769084619,-0.1991402207
27.375,2.174196288,3.763953264,3.763953264,-0.2112904421
27.4,2.12684771,3.758523713,3.758523713,-0.2230064116
27.425,2.079655181,3.752806078,3.752806078,-0.2343459067
27.45,2.03274835,3.746809153,3.746809153,-0.2453568776
27.475,1.98625862,3.740540642,3.740540642,-0.2560785996
27.5,1.940318435,3.734007368,3.734007368,-0.2665426996
27.525,1.895060557,3.727215445,3.727215445,-0.27677407
27.55,1.850617336,3.720170444,3.720170444,-0.2867916835
27.575,1.807119967,3.712877526,3.712877526,-0.2966093196
27.6,1.764697759,3.705341567,3.705341567,-0.3062362139
27.625,1.723477396,3.69756726,3.69756726,-0.3156776397
27.65,1.683582206,3.689559214,3.689559214,-0.3249354286
27.675,1.645131443,3.681322028,3.681322028,-0.3340084399
27.7,1.608239577,3.672860362,3.672860362,-0.3428929823
27.725,1.573015606,3.664178998,3.664178998,-0.3515831971
27.75,1.53956238,3.655282885,3.655282885,-0.360071404
27.775,1.507975955,3.646177187,3.646177187,-0.3683484171
27.8,1.478344965,3.636867311,3.636867311,-0.3764038338
27.825,1.450750036,3.627358936,3.627358936,-0.3842262989
27.85,1.425263215,3.617658037,3.617658037,-0.3918037487
27.875,1.401947448,3.607770895,3.607770895,-0.3991236368
27.9,1.380856088,3.597704109,3.597704109,-0.4061731432
27.925,1.362032448,3.587464599,3.587464599,-0.4129393696
27.95,1.345509389,3.577059608,3.577059608,-0.419409522
27.975,1.331308962,3.566496694,3.566496694,-0.4255710826
28,1.319442088,3.555783726,3.555783726,-0.4314119709
28.025,1.309908291,3.544928864,3.544928864,-0.436920697
28.05,1.302695485,3.533940549,3.533940549,-0.4420865055
28.075,1.297779799,3.522827479,3.522827479,-0.446899513
28.1,1.295125471,3.511598588,3.511598588,-0.4513508382
28.125,1.294684784,3.500263016,3.500263016,-0.4554327258
28.15,1.296398062,3.488830085,3.488830085,-0.4591386637
28.175,1.300193715,3.477309259,3.477309259,-0.4624634951
28.2,1.30598835,3.465710117,3.465710117,-0.4654035233
28.225,1.313686922,3.454042308,3.454042308,-0.4679566124
28.25,1.323182954,3.442315515,3.442315515,-0.4701222801
28.275,1.334358802,3.430539412,3.430539412,-0.4719017858
28.3,1.34708598,3.418723619,3.418723619,-0.4732982118
28.325,1.361225529,3.406877653,3.406877653,-0.4743165377
28.35,1.376628453,3.395010886,3.395010886,-0.4749637082
