time,u,y,x1,x2
25,5.390921839e-15,1.162910121,1.162910121,0.8172531495
25.025,0.04396811832,1.182943407,1.182943407,0.7854666849
25.05,0.08785119655,1.202186528,1.202186528,0.7540488308
25.075,0.1315643591,1.220649357,1.220649357,0.7230518976
25.1,0.175023059,1.238343036,1.238343036,0.6925244141
25.125,0.2181432414,1.255279862,1.255279862,0.6625109223
25.15,0.2608415063,1.271473203,1.271473203,0.6330518369
25.175,0.3030352696,1.286937377,1.286937377,0.6041833228
25.2,0.3446429232,1.301687557,1.301687557,0.5759372232
25.225,0.3855839923,1.315739655,1.315739655,0.5483410133
25.25,0.4257792916,1.329110217,1.329110217,0.5214177923
25.275,0.4651510781,1.34181631,1.34181631,0.4951863044
25.3,0.5036232016,1.353875418,1.353875418,0.4696609868
25.325,0.5411212521,1.36530533,1.36530533,0.444852049
25.35,0.5775727034,1.376124042,1.376124042,0.4207655661
25.375,0.6129070537,1.386349647,1.386349647,0.3974036053
25.4,0.6470559616,1.396000246,1.396000246,0.3747643556
25.425,0.6799533787,1.405093843,1.405093843,0.3528422908
25.45,0.7115356772,1.413648262,1.413648262,0.3316283244
25.475,0.7417417727,1.421681057,1.421681057,0.3111100002
25.5,0.7705132428,1.42920943,1.42920943,0.2912716626
25.525,0.7977944395,1.436250152,1.436250152,0.2720946668
25.55,0.8235325976,1.442819496,1.442819496,0.2535575564
25.575,0.8476779361,1.448933163,1.448933163,0.235636284
25.6,0.8701837547,1.454606222,1.454606222,0.2183043932
25.625,0.8910065242,1.459853056,1.459853056,0.2015332372
25.65,0.9101059707,1.464687302,1.464687302,0.1852921682
25.675,0.9274451533,1.469121812,1.469121812,0.1695487398
25.7,0.9429905359,1.473168603,1.473168603,0.1542689091
25.725,0.9567120516,1.476838825,1.476838825,0.1394172117
25.75,0.9685831611,1.480142726,1.480142726,0.1249569755
25.775,0.9785809043,1.483089622,1.483089622,0.1108504744
25.8,0.9866859442,1.485687876,1.485687876,0.09705912654
25.825,0.9928826046,1.487944877,1.487944877,0.08354366043
25.85,0.9971589003,1.489867026,1.489867026,0.07026426698
25.875,0.9995065604,1.491459724,1.491459724,0.05718078507
25.9,0.9999210442,1.492727362,1.492727362,0.04425282414
25.925,0.9984015501,1.493673324,1.493673324,0.03143992832
25.95,0.994951017,1.49429998,1.49429998,0.01870170771
25.975,0.9895761186,1.494608696,1.494608696,0.005997969235
26,0.9822872507,1.494599834,1.494599834,-0.006711159187
26.025,0.973098511,1.494272765,1.494272765,-0.01946511275
26.05,0.9620276716,1.49362588,1.49362588,-0.03230278246
26.075,0.949096145,1.492656609,1.492656609,-0.04526241257
26.1,0.9343289425,1.491361431,1.491361431,-0.05838150925
26.125,0.9177546257,1.489735899,1.489735899,-0.07169675394
26.15,0.8994052516,1.48777466,1.48777466,-0.0852439261
26.175,0.8793163102,1.485471479,1.485471479,-0.09905783373
26.2,0.8575266562,1.482819264,1.482819264,-0.1131722503
26.225,0.8340784336,1.47981009,1.47981009,-0.1276198615
26.25,0.8090169944,1.476435231,1.476435231,-0.1424322176
26.275,0.7823908106,1.472685186,1.472685186,-0.1576396955
26.3,0.7542513807,1.46854971,1.46854971,-0.1732714659
26.325,0.7246531302,1.464017844,1.464017844,-0.189355471
26.35,0.6936533058,1.459077945,1.459077945,-0.2059184064
26.375,0.6613118653,1.45371772,1.45371772,-0.2229857128
26.4,0.6276913613,1.447924254,1.447924254,-0.2405815719
26.425,0.5928568202,1.441684045,1.441684045,-0.2587289119
26.45,0.5568756165,1.434983032,1.434983032,-0.2774494165
26.475,0.5198173426,1.427806627,1.427806627,-0.2967635417
26.5,0.4817536741,1.420139748,1.420139748,-0.3166905387
26.525,0.442758231,1.411966842,1.411966842,-0.3372484764
26.55,0.4029064357,1.403271924,1.403271924,-0.3584542807
26.575,0.3622753667,1.394038597,1.394038597,-0.3803237634
26.6,0.3209436098,1.384250082,1.384250082,-0.4028716605
26.625,0.278991106,1.373889246,1.373889246,-0.4261116847
26.65,0.236498997,1.362938625,1.362938625,-0.4500565569
26.675,0.1935494681,1.351380446,1.351380446,-0.4747180553
26.7,0.1502255891,1.339196659,1.339196659,-0.5001070719
26.725,0.1066111543,1.326368946,1.326368946,-0.5262336438
26.75,0.06279051953,1.312878753,1.312878753,-0.5531070042
26.775,0.01884843972,1.298707302,1.298707302,-0.5807356328
26.8,-0.02513009544,1.283835613,1.283835613,-0.6091272834
26.825,-0.06906002571,1.26824452,1.26824452,-0.6382890254
26.85,-0.1128563849,1.25191469,1.25191469,-0.6682272781
26.875,-0.156434465,1.234826637,1.234826637,-0.698947827
26.9,-0.1997099805,1.216960736,1.216960736,-0.7304558441
26.925,-0.2425992308,1.198297244,1.198297244,-0.7627558932
26.95,-0.2850192625,1.178816309,1.178816309,-0.7958519273
26.975,-0.3268880297,1.158497986,1.158497986,-0.8297472691
27,-0.3681245527,1.137322262,1.137322262,-0.864444578
27.025,-0.4086490747,1.115269058,1.115269058,-0.8999458135
27.05,-0.4483832161,1.092318261,1.092318261,-0.9362521578
27.075,-0.4872501257,1.068449738,1.068449738,-0.9733639272
27.1,-0.52517463,1.043643358,1.043643358,-1.011280489
27.125,-0.5620833779,1.017879021,1.017879021,-1.050000101
27.15,-0.5979049831,0.9911366862,0.9911366862,-1.089519748
27.175,-0.6325701619,0.9633964035,0.9633964035,-1.12983499
27.2,-0.6660118674,0.9346383563,0.9346383563,-1.170939699
27.225,-0.698165419,0.9048429068,0.9048429068,-1.212825794
27.25,-0.7289686274,0.8739906402,0.8739906402,-1.255482994
27.275,-0.7583619153,0.8420624373,0.8420624373,-1.298898405
27.3,-0.7862884321,0.8090395335,0.8090395335,-1.343056181
