time,u,y,x1,x2
25,-0.1638450398,-0.4788188426,-0.4788188426,1.33194674
25.025,-0.147097277,-0.4452928198,-0.4452928198,1.350158284
25.05,-0.1302982152,-0.4113098636,-0.4113098636,1.368497539
25.075,-0.113452624,-0.3768670834,-0.3768670834,1.386939821
25.1,-0.0965652993,-0.3419622412,-0.3419622412,1.405457777
25.125,-0.07964106217,-0.3065938143,-0.3065938143,1.424021256
25.15,-0.06268475728,-0.2707610741,-0.2707610741,1.442597143
25.175,-0.04570125167,-0.2344641546,-0.2344641546,1.461149234
25.2,-0.02869543333,-0.1977041384,-0.1977041384,1.479638086
25.225,-0.01167220984,-0.160483133,-0.160483133,1.498020903
25.25,0.005363492992,-0.1228043615,-0.1228043615,1.516251413
25.275,0.02240673256,-0.08467224595,-0.08467224595,1.534279779
25.3,0.03945255087,-0.04609250162,-0.04609250162,1.55205252
25.325,0.05649597595,-0.007072225728,-0.007072225728,1.569512456
25.35,0.0735320233,0.0323800081,0.0323800081,1.586598689
25.375,0.09055569731,0.07225405712,0.07225405712,1.603246609
25.4,0.1075619928,0.1125381179,0.1125381179,1.619387943
25.425,0.1245458963,0.1532186351,0.1532186351,1.634950844
25.45,0.1415023877,0.1942802134,0.1942802134,1.649860035
25.475,0.1584264418,0.2357055359,0.2357055359,1.664036989
25.5,0.1753130295,0.2774752824,0.2774752824,1.677400197
25.525,0.1921571196,0.3195680635,0.3195680635,1.689865458
25.55,0.2089536801,0.3619603522,0.3619603522,1.701346275
25.575,0.2256976798,0.4046264375,0.4046264375,1.711754289
25.6,0.2423840901,0.4475383794,0.4475383794,1.720999801
25.625,0.2590078858,0.4906659863,0.4906659863,1.728992356
25.65,0.2755640474,0.5339768012,0.5339768012,1.73564141
25.675,0.2920475622,0.5774361111,0.5774361111,1.740857047
25.7,0.3084534262,0.6210069706,0.6210069706,1.744550785
25.725,0.3247766452,0.6646502484,0.6646502484,1.746636409
25.75,0.3410122366,0.7083246972,0.7083246972,1.7470309
25.775,0.3571552309,0.7519870416,0.7519870416,1.745655345
25.8,0.3732006736,0.7955920971,0.7955920971,1.742435937
25.825,0.389143626,0.8390929068,0.8390929068,1.737304946
25.85,0.4049791677,0.8824409065,0.8824409065,1.730201697
25.875,0.4207023974,0.925586115,0.925586115,1.721073546
25.9,0.4363084349,0.9684773428,0.9684773428,1.709876788
25.925,0.4517924223,1.01106243,1.01106243,1.696577531
25.95,0.4671495262,1.053288502,1.053288502,1.681152475
25.975,0.4823749386,1.095102236,1.095102236,1.663589592
26,0.4974638789,1.136450161,1.136450161,1.643888702
26.025,0.512411595,1.177278952,1.177278952,1.622061892
26.05,0.5272133657,1.217535741,1.217535741,1.598133802
26.075,0.5418645014,1.257168438,1.257168438,1.57214174
26.1,0.556360346,1.296126041,1.296126041,1.54413563
26.125,0.5706962786,1.334358952,1.334358952,1.514177779
26.15,0.5848677148,1.371819281,1.371819281,1.482342468
26.175,0.5988701086,1.408461141,1.408461141,1.448715388
26.2,0.6126989535,1.444240919,1.444240919,1.413392878
26.225,0.6263497842,1.479117538,1.479117538,1.376481047
26.25,0.6398181785,1.513052682,1.513052682,1.338094747
26.275,0.6530997583,1.546011007,1.546011007,1.298356408
26.3,0.6661901913,1.577960308,1.577960308,1.257394845
26.325,0.6790851927,1.60887167,1.60887167,1.215343903
